Name,Instructor/Presenter,Short description,Audience Exposure Level,Specificity,Learning Pathway
"How are Large Language Models Made and Evaluated: Pre-Training, Finetuning and Benchmarks",Dominik Lukeš,No content,Lv. Anyone,Lv.1 - Ideas,Research
Generative AI in historical context: How we got here and where we are going,Dominik Lukeš,No content,Lv. Anyone,Lv.1 - Ideas,Research
Two Years After ChatGPT: Reflections on The State and Future Directions of generative AI,Dominik Lukeš,"On the two-year anniversary of ChatGPT, Dominik Lukeš reflects on the evolution of generative AI, discussing changes and consistencies since 2022, and exploring future directions for the technology.",Lv. Anyone,Lv.1 - Ideas,Research
AI Foundations for Non-Specialists ,Dominik Lukeš,"A series of sessions aimed at providing a foundational understanding of generative AI, covering its technology, historical context, and future trends to enhance intuition about its capabilities and implications.",Lv. 2 - Sometimes use AI,Lv.1 - Ideas,Research
Introduction to Open Source and Local AI Models: Running AI Locally from Laptops to Servers,Dominik Lukeš,"Overview of open source and local AI models, covering hardware requirements, key concepts like model size and quantization, major providers, deployment tools, and practical considerations for running AI locally from laptops to servers.",Lv. 3 - Use AI on a daily basis,Lv.1 - Ideas,Research
Introduction to Coding with AI for Everyone: Empowering Non-Programmers to Create with AI,Dominik Lukeš,"AI-powered coding tools are making software development accessible to non-programmers, enabling them to create applications with minimal coding experience. The session covers AI capabilities, tools for different skill levels, best practices, and common pitfalls in using AI for coding.",Lv. 2 - Sometimes use AI,Lv.1 - Ideas,Research
Generative AI as Assistive Technology: Mapping the Landscape of Possibilities and Available Tools,Dominik Lukeš,"Overview of AI assistive technologies highlights advancements in multimodality, vision, speech, and language processing, showcasing tools that enhance accessibility for individuals with diverse needs, along with implementation considerations and best practices for effective use.",Lv. 2 - Sometimes use AI,Lv.1 - Ideas,Research
Custom Bot Creation: From Simple GPTs to Custom Applications,Dominik Lukeš,"Guide on custom bot creation covers tools, effective prompting strategies, document knowledge integration, and platform comparisons, emphasizing the transition from simple bots to fully developed applications. Includes practical demonstrations and best practices for maximizing bot capabilities.",Lv. 2 - Sometimes use AI,Lv.1 - Ideas,Research
Understanding AI Agents: From Simple Assistants to Autonomous Systems,Dominik Lukeš,"Explore the landscape of AI agents, defining their characteristics, levels of autonomy, technical components, and practical applications across various domains, while discussing future developments and ethical considerations.",Lv. 2 - Sometimes use AI,Lv.1 - Ideas,Research
From Chatbots to Agents: Eight Key Trends Shaping Generative AI in 2025,Dominik Lukeš,"The webinar will explore eight key trends in generative AI by 2025, including advancements in multimodality, long context windows, and the rise of small local language models, while addressing ongoing limitations and challenges in AI implementation in educational settings.",Lv. Anyone,Lv.1 - Ideas,Research
Quick Guide to AI tools for developers: AI tools for software development activities ,Edward Fauchon-Jones,"Explore AI tools for software development, including GitHub Copilot setup, interactive demonstrations, and alternatives like OpenAI ChatGPT, with guidance on selecting the right tools for your needs.",Lv. 3 - Use AI on a daily basis,Lv.1 - Ideas,Engineering 
AI in the Writing Process: Rethinking Authorship and Assessment,Kelly Webb-Davies,"Workshop on the role of generative AI in academic writing, focusing on authorship, linguistic equity, and assessment validity. Educators will explore AI-assisted writing processes and discuss ethical implications, aimed at adapting teaching practices for diverse linguistic backgrounds.",Lv. 2 - Sometimes use AI,Lv.1 - Ideas,Education
Beyond Detection: Navigating AI Tools and Ethical Practice in Education ,Kelly Webb-Davies,"Workshop aims to address gaps in educators' understanding of generative AI tools, focusing on ethical implications, limitations of detection methods, and insights into student practices with AI. Participants will explore various AI tools and learn to navigate the evolving educational landscape ethically.",Lv. 2 - Sometimes use AI,Lv.1 - Ideas,Education
Bias and Barriers: Addressing AI in Writing ,Kelly Webb-Davies,"Webinar on the impact of AI on writing explores practical integration, addressing biases, and promoting fairness in education. Attendees will learn about AI's role in writing skills, authorship, and academic integrity.",Lv. 2 - Sometimes use AI,Lv.1 - Ideas,Education
Quick Guide to AI tool An Overview of AI on Azure ,Muhammad Haseeb Ahmad,"Webinar introduces Azure's AI ecosystem, covering essential tools like Machine Learning and Cognitive Services, and provides guidance on building, deploying, and optimizing AI solutions for software development.",Lv. 3 - Use AI on a daily basis,Lv.1 - Ideas,Engineering 
AI For Everyone: The story so far (chatGPT and Copilot),xavier,"A training session aimed at beginners will provide an overview of AI, its usefulness, and practical steps for using tools like ChatGPT and Copilot, addressing common concerns and anxieties about AI in the workplace.",Lv. 1 - Never used AI,Lv.1 - Ideas,Operation
